message_id,conversation_id,user_id,timestamp,message_text,is_user_message,message_length
msg_0000001,conv_000001,user_00736,2025-07-20 15:03:27.481404,The app is working great!,True,32
msg_0000002,conv_000001,system,2025-07-20 15:06:37.481404,I have a question about my account.,False,30
msg_0000003,conv_000001,user_00736,2025-07-20 15:08:24.481404,The app is working great!,True,31
msg_0000004,conv_000001,system,2025-07-20 15:09:11.481404,How much does basic cost?,False,23
msg_0000005,conv_000002,user_00952,2025-08-08 19:07:03.481404,The performance has been slow recently.,True,35
msg_0000006,conv_000002,system,2025-08-08 19:13:50.481404,I'm having trouble with reports.,False,30
msg_0000007,conv_000003,user_00607,2025-09-14 13:22:21.481404,Could you add support for export data?,True,38
msg_0000008,conv_000003,system,2025-09-14 13:28:30.481404,That solved my problem.,False,23
msg_0000009,conv_000004,user_00871,2025-09-13 22:37:05.481404,Is there a way to invite friends in the app?,True,39
msg_0000010,conv_000004,system,2025-09-13 22:38:23.481404,I forgot my password.,False,32
msg_0000011,conv_000005,user_00439,2025-09-11 17:41:32.481404,Can you help me with download?,True,31
msg_0000012,conv_000005,system,2025-09-11 17:59:49.481404,The app is working great!,False,35
msg_0000013,conv_000005,user_00439,2025-09-11 18:00:39.481404,I forgot my password.,True,35
msg_0000014,conv_000006,user_00013,2025-09-29 23:46:31.481404,I forgot my password.,True,25
msg_0000015,conv_000006,system,2025-09-29 23:49:55.481404,Can you help me with upload?,False,35
msg_0000016,conv_000006,user_00013,2025-09-29 23:50:02.481404,"Hello, I need help with billing.",True,36
msg_0000017,conv_000006,system,2025-09-29 23:55:28.481404,Is there documentation for dashboard?,False,39
msg_0000018,conv_000006,user_00013,2025-09-30 00:01:00.481404,The performance has been slow recently.,True,25
msg_0000019,conv_000007,user_00371,2025-09-09 05:09:36.481404,I have a suggestion for improvement.,True,25
msg_0000020,conv_000007,system,2025-09-09 05:10:48.481404,Could you add support for invite friends?,False,43
msg_0000021,conv_000007,user_00371,2025-09-09 05:10:50.481404,The app is working great!,True,36
msg_0000022,conv_000008,user_00752,2025-08-29 03:51:52.481404,The app is working great!,True,31
